# q     mp2         bmp2        ccd         rpa
0.0196	-0.13471581	-0.24164545	-0.05901161	-0.05190041
0.027718586	-0.12983459	-0.21743335	-0.07071388	-0.05760998
0.033948196	-0.12334152	-0.19737427	-0.0789145	-0.06034291
0.0392	-0.11556856	-0.1778707	-0.0842359	-0.06128538
0.043826932	-0.10586341	-0.15826417	-0.08573844	-0.05993979
0.048009999	-0.09519588	-0.13959165	-0.08397648	-0.05684478
0.055437172	-0.07435408	-0.10624607	-0.07586674	-0.04871411
0.0588	-0.06442065	-0.0907422	-0.07117668	-0.04449195
0.061980642	-0.05629415	-0.07844345	-0.06628954	-0.04056481
0.065005846	-0.0496744	-0.06872925	-0.06144343	-0.03697076
0.067896392	-0.0434847	-0.05969947	-0.05675456	-0.03353574
0.070668805	-0.03800358	-0.05178427	-0.05226216	-0.03035884
0.073336485	-0.03318915	-0.04489665	-0.04801148	-0.0274386
0.0784	-0.02534246	-0.03384352	-0.04026949	-0.02235461
0.08081287	-0.02229037	-0.02961427	-0.03689305	-0.0202389
0.083155758	-0.01939406	-0.02561381	-0.03361975	-0.01820384
0.085434419	-0.01696775	-0.02229287	-0.03067516	-0.01642617
0.087653865	-0.01480328	-0.01934518	-0.02794941	-0.01480582
0.089818484	-0.01277948	-0.01659695	-0.02535419	-0.01327445
0.091932149	-0.01089765	-0.01404682	-0.02289523	-0.01183454
